model,feature,importance
DecisionTree,protonated_pm7_HOMO_LUMO_gap_eV,0.274267
DecisionTree,protonated_pm7_LUMO_eV,0.221177
DecisionTree,protonated_rdkit_SlogP_VSA2,0.038601
DecisionTree,protonated_mordred_nBase,0.038592
DecisionTree,neutral_mordred_ATS0Z,0.035687
DecisionTree,neutral_mordred_GATS8s,0.034863
DecisionTree,neutral_mordred_PNSA1,0.033222
DecisionTree,neutral_mordred_FPSA2,0.028476
DecisionTree,site_normalized_index,0.026895
DecisionTree,neutral_mordred_AATS0p,0.021078
DecisionTree,protonated_mordred_AATS1p,0.018631
DecisionTree,protonated_rdkit_VSA_EState1,0.017212
DecisionTree,neutral_rdkit_SlogP_VSA11,0.015686
DecisionTree,morgan_969,0.014487
DecisionTree,neutral_mordred_WNSA1,0.012113
DecisionTree,dft_delta_HOMO_LUMO_gap_eV,0.011134
DecisionTree,protonated_rdkit_fr_Al_OH,0.010228
DecisionTree,neutral_mordred_AATS2p,0.009961
DecisionTree,protonated_mordred_MATS1dv,0.009682
DecisionTree,protonated_mordred_SaaN,0.009241
DecisionTree,morgan_338,0.009196
DecisionTree,protonated_mordred_ATSC4are,0.008906
DecisionTree,protonated_rdkit_EState_VSA9,0.008331
DecisionTree,protonated_mordred_AATS3i,0.008254
DecisionTree,protonated_mordred_GATS1c,0.007527
DecisionTree,protonated_rdkit_fr_priamide,0.007425
DecisionTree,maccs_88,0.007309
DecisionTree,neutral_mordred_MAXsOH,0.006939
DecisionTree,maccs_86,0.006358
DecisionTree,morgan_886,0.006347
DecisionTree,protonated_mordred_BCUTi-1l,0.00586
DecisionTree,neutral_rdkit_PEOE_VSA13,0.005512
DecisionTree,protonated_rdkit_fr_Ar_OH,0.005266
DecisionTree,protonated_mordred_NdNH,0.004733
DecisionTree,protonated_mordred_NaaN,0.004282
DecisionTree,neutral_mordred_StsC,0.002442
DecisionTree,maccs_95,0.002098
DecisionTree,maccs_102,0.002072
DecisionTree,morgan_983,0.001964
DecisionTree,morgan_360,0.001836
DecisionTree,protonated_rdkit_fr_Ar_NH,0.001406
DecisionTree,morgan_392,0.001309
DecisionTree,maccs_58,0.00085
DecisionTree,morgan_695,0.000745
DecisionTree,morgan_416,0.000673
DecisionTree,maccs_25,0.000386
DecisionTree,neutral_rdkit_fr_guanido,0.000247
DecisionTree,morgan_730,0.000227
DecisionTree,morgan_114,0.000218
DecisionTree,morgan_563,4.5e-05
DecisionTree,maccs_89,2e-06
DecisionTree,maccs_73,0.0
RandomForest,protonated_pm7_HOMO_LUMO_gap_eV,0.266216
RandomForest,protonated_pm7_LUMO_eV,0.249399
RandomForest,neutral_mordred_PNSA1,0.037226
RandomForest,neutral_mordred_ATS0Z,0.03656
RandomForest,protonated_mordred_nBase,0.03495
RandomForest,protonated_rdkit_SlogP_VSA2,0.033635
RandomForest,neutral_mordred_FPSA2,0.031204
RandomForest,neutral_mordred_GATS8s,0.027106
RandomForest,site_normalized_index,0.025102
RandomForest,neutral_mordred_AATS0p,0.015237
RandomForest,protonated_mordred_AATS1p,0.015059
RandomForest,protonated_mordred_BCUTi-1l,0.014498
RandomForest,maccs_86,0.013996
RandomForest,morgan_969,0.013161
RandomForest,neutral_mordred_WNSA1,0.012871
RandomForest,protonated_mordred_GATS1c,0.011498
RandomForest,protonated_mordred_AATS3i,0.011099
RandomForest,protonated_rdkit_VSA_EState1,0.011087
RandomForest,protonated_rdkit_EState_VSA9,0.011009
RandomForest,neutral_rdkit_SlogP_VSA11,0.010205
RandomForest,protonated_mordred_MATS1dv,0.010003
RandomForest,neutral_mordred_AATS2p,0.009482
RandomForest,dft_delta_HOMO_LUMO_gap_eV,0.008377
RandomForest,morgan_886,0.008208
RandomForest,protonated_mordred_SaaN,0.007704
RandomForest,protonated_mordred_ATSC4are,0.00718
RandomForest,protonated_rdkit_fr_Al_OH,0.006522
RandomForest,maccs_88,0.005396
RandomForest,neutral_mordred_MAXsOH,0.005166
RandomForest,protonated_mordred_NaaN,0.00461
RandomForest,neutral_rdkit_PEOE_VSA13,0.004409
RandomForest,protonated_mordred_NdNH,0.004333
RandomForest,protonated_rdkit_fr_priamide,0.004108
RandomForest,maccs_95,0.003911
RandomForest,neutral_rdkit_fr_guanido,0.003693
RandomForest,maccs_58,0.003629
RandomForest,morgan_360,0.002843
RandomForest,maccs_25,0.002622
RandomForest,morgan_392,0.002583
RandomForest,morgan_338,0.002304
RandomForest,morgan_983,0.002075
RandomForest,protonated_rdkit_fr_Ar_OH,0.001909
RandomForest,neutral_mordred_StsC,0.001823
RandomForest,morgan_695,0.001513
RandomForest,maccs_102,0.001108
RandomForest,protonated_rdkit_fr_Ar_NH,0.001027
RandomForest,maccs_89,0.000766
RandomForest,morgan_114,0.000475
RandomForest,morgan_563,0.000443
RandomForest,maccs_73,0.000246
RandomForest,morgan_730,0.000222
RandomForest,morgan_416,0.000192
ExtraTrees,protonated_pm7_LUMO_eV,0.231803
ExtraTrees,protonated_pm7_HOMO_LUMO_gap_eV,0.213365
ExtraTrees,protonated_mordred_nBase,0.04755
ExtraTrees,maccs_86,0.04403
ExtraTrees,neutral_mordred_GATS8s,0.028855
ExtraTrees,neutral_mordred_PNSA1,0.028826
ExtraTrees,neutral_mordred_ATS0Z,0.024822
ExtraTrees,protonated_rdkit_SlogP_VSA2,0.024664
ExtraTrees,neutral_mordred_FPSA2,0.020852
ExtraTrees,site_normalized_index,0.017996
ExtraTrees,maccs_88,0.016947
ExtraTrees,morgan_969,0.0159
ExtraTrees,morgan_886,0.014479
ExtraTrees,protonated_rdkit_EState_VSA9,0.013821
ExtraTrees,maccs_95,0.012904
ExtraTrees,protonated_mordred_AATS1p,0.01289
ExtraTrees,neutral_rdkit_PEOE_VSA13,0.011485
ExtraTrees,neutral_mordred_WNSA1,0.011025
ExtraTrees,protonated_mordred_BCUTi-1l,0.010898
ExtraTrees,protonated_rdkit_fr_Al_OH,0.010571
ExtraTrees,protonated_rdkit_fr_priamide,0.010471
ExtraTrees,protonated_rdkit_VSA_EState1,0.010297
ExtraTrees,neutral_mordred_AATS0p,0.010174
ExtraTrees,morgan_360,0.009928
ExtraTrees,protonated_mordred_SaaN,0.009722
ExtraTrees,maccs_58,0.008982
ExtraTrees,neutral_rdkit_fr_guanido,0.008953
ExtraTrees,protonated_mordred_GATS1c,0.008853
ExtraTrees,protonated_mordred_MATS1dv,0.008783
ExtraTrees,protonated_mordred_NaaN,0.008578
ExtraTrees,maccs_25,0.008262
ExtraTrees,neutral_rdkit_SlogP_VSA11,0.007498
ExtraTrees,protonated_mordred_AATS3i,0.006382
ExtraTrees,morgan_392,0.00604
ExtraTrees,morgan_338,0.005782
ExtraTrees,dft_delta_HOMO_LUMO_gap_eV,0.005461
ExtraTrees,protonated_mordred_NdNH,0.005373
ExtraTrees,neutral_mordred_AATS2p,0.005022
ExtraTrees,morgan_695,0.004773
ExtraTrees,protonated_mordred_ATSC4are,0.004733
ExtraTrees,protonated_rdkit_fr_Ar_OH,0.004099
ExtraTrees,maccs_102,0.004031
ExtraTrees,morgan_983,0.003885
ExtraTrees,neutral_mordred_MAXsOH,0.003717
ExtraTrees,neutral_mordred_StsC,0.003455
ExtraTrees,maccs_73,0.00276
ExtraTrees,protonated_rdkit_fr_Ar_NH,0.002379
ExtraTrees,morgan_114,0.00214
ExtraTrees,maccs_89,0.002099
ExtraTrees,morgan_563,0.001506
ExtraTrees,morgan_730,0.001168
ExtraTrees,morgan_416,0.001012
GradientBoosting,protonated_pm7_LUMO_eV,0.259441
GradientBoosting,protonated_pm7_HOMO_LUMO_gap_eV,0.258208
GradientBoosting,protonated_mordred_nBase,0.038741
GradientBoosting,neutral_mordred_PNSA1,0.036994
GradientBoosting,neutral_mordred_FPSA2,0.032825
GradientBoosting,protonated_rdkit_SlogP_VSA2,0.031872
GradientBoosting,neutral_mordred_ATS0Z,0.030872
GradientBoosting,site_normalized_index,0.020653
GradientBoosting,neutral_mordred_GATS8s,0.020149
GradientBoosting,maccs_86,0.018799
GradientBoosting,protonated_mordred_AATS1p,0.017718
GradientBoosting,protonated_mordred_SaaN,0.013379
GradientBoosting,morgan_886,0.012961
GradientBoosting,neutral_rdkit_SlogP_VSA11,0.012798
GradientBoosting,protonated_mordred_BCUTi-1l,0.01274
GradientBoosting,protonated_rdkit_VSA_EState1,0.01249
GradientBoosting,neutral_mordred_AATS0p,0.011812
GradientBoosting,morgan_969,0.011761
GradientBoosting,neutral_mordred_AATS2p,0.011073
GradientBoosting,maccs_88,0.008792
GradientBoosting,protonated_mordred_GATS1c,0.008123
GradientBoosting,protonated_rdkit_fr_priamide,0.007814
GradientBoosting,protonated_mordred_AATS3i,0.007274
GradientBoosting,maccs_25,0.007007
GradientBoosting,protonated_mordred_MATS1dv,0.006757
GradientBoosting,protonated_mordred_NdNH,0.006625
GradientBoosting,dft_delta_HOMO_LUMO_gap_eV,0.006483
GradientBoosting,protonated_rdkit_fr_Al_OH,0.00642
GradientBoosting,protonated_rdkit_EState_VSA9,0.006368
GradientBoosting,neutral_mordred_WNSA1,0.006007
GradientBoosting,protonated_mordred_NaaN,0.005987
GradientBoosting,maccs_95,0.005707
GradientBoosting,morgan_360,0.005508
GradientBoosting,neutral_rdkit_fr_guanido,0.004601
GradientBoosting,protonated_mordred_ATSC4are,0.004327
GradientBoosting,protonated_rdkit_fr_Ar_OH,0.004282
GradientBoosting,maccs_58,0.004102
GradientBoosting,morgan_338,0.003363
GradientBoosting,neutral_mordred_MAXsOH,0.003169
GradientBoosting,morgan_983,0.003061
GradientBoosting,neutral_rdkit_PEOE_VSA13,0.003039
GradientBoosting,morgan_392,0.001911
GradientBoosting,neutral_mordred_StsC,0.001557
GradientBoosting,maccs_102,0.001506
GradientBoosting,protonated_rdkit_fr_Ar_NH,0.00128
GradientBoosting,maccs_89,0.001246
GradientBoosting,morgan_695,0.001203
GradientBoosting,morgan_114,0.000691
GradientBoosting,morgan_416,0.000405
GradientBoosting,morgan_563,6.9e-05
GradientBoosting,morgan_730,2.9e-05
GradientBoosting,maccs_73,0.0
AdaBoost,protonated_pm7_LUMO_eV,0.262955
AdaBoost,protonated_pm7_HOMO_LUMO_gap_eV,0.260283
AdaBoost,neutral_mordred_ATS0Z,0.033469
AdaBoost,neutral_mordred_PNSA1,0.03117
AdaBoost,neutral_rdkit_SlogP_VSA11,0.028825
AdaBoost,neutral_mordred_FPSA2,0.028673
AdaBoost,neutral_mordred_GATS8s,0.023056
AdaBoost,protonated_rdkit_SlogP_VSA2,0.020617
AdaBoost,protonated_mordred_AATS1p,0.017957
AdaBoost,site_normalized_index,0.01788
AdaBoost,maccs_86,0.017135
AdaBoost,protonated_mordred_BCUTi-1l,0.016997
AdaBoost,protonated_mordred_SaaN,0.015992
AdaBoost,neutral_mordred_AATS2p,0.014381
AdaBoost,protonated_mordred_MATS1dv,0.014124
AdaBoost,neutral_mordred_WNSA1,0.014053
AdaBoost,morgan_886,0.013702
AdaBoost,protonated_rdkit_VSA_EState1,0.013038
AdaBoost,protonated_mordred_nBase,0.012802
AdaBoost,neutral_mordred_AATS0p,0.012409
AdaBoost,protonated_mordred_GATS1c,0.011075
AdaBoost,neutral_mordred_MAXsOH,0.010396
AdaBoost,protonated_mordred_AATS3i,0.009556
AdaBoost,maccs_95,0.009
AdaBoost,dft_delta_HOMO_LUMO_gap_eV,0.008615
AdaBoost,morgan_969,0.007686
AdaBoost,protonated_rdkit_EState_VSA9,0.007584
AdaBoost,maccs_58,0.006947
AdaBoost,protonated_mordred_NaaN,0.006383
AdaBoost,maccs_25,0.006067
AdaBoost,neutral_rdkit_PEOE_VSA13,0.004723
AdaBoost,protonated_mordred_ATSC4are,0.004653
AdaBoost,protonated_rdkit_fr_Ar_OH,0.00464
AdaBoost,morgan_338,0.004559
AdaBoost,protonated_rdkit_fr_Al_OH,0.004327
AdaBoost,protonated_rdkit_fr_Ar_NH,0.003916
AdaBoost,maccs_88,0.003515
AdaBoost,protonated_rdkit_fr_priamide,0.002962
AdaBoost,morgan_695,0.002878
AdaBoost,neutral_rdkit_fr_guanido,0.002577
AdaBoost,morgan_392,0.001996
AdaBoost,neutral_mordred_StsC,0.001958
AdaBoost,maccs_89,0.001461
AdaBoost,morgan_983,0.001441
AdaBoost,morgan_563,0.00047
AdaBoost,protonated_mordred_NdNH,0.000443
AdaBoost,maccs_102,0.000304
AdaBoost,morgan_360,0.000276
AdaBoost,morgan_114,4.1e-05
AdaBoost,maccs_73,3e-05
AdaBoost,morgan_416,0.0
AdaBoost,morgan_730,0.0
XGBoost,morgan_969,0.146059
XGBoost,protonated_mordred_nBase,0.100439
XGBoost,neutral_rdkit_fr_guanido,0.097823
XGBoost,morgan_886,0.061451
XGBoost,neutral_rdkit_SlogP_VSA11,0.059907
XGBoost,protonated_pm7_HOMO_LUMO_gap_eV,0.058005
XGBoost,protonated_pm7_LUMO_eV,0.046804
XGBoost,maccs_88,0.045697
XGBoost,protonated_mordred_NdNH,0.030654
XGBoost,morgan_338,0.028902
XGBoost,neutral_mordred_PNSA1,0.020795
XGBoost,neutral_mordred_ATS0Z,0.01967
XGBoost,neutral_mordred_FPSA2,0.017582
XGBoost,protonated_mordred_SaaN,0.017214
XGBoost,maccs_86,0.015806
XGBoost,neutral_mordred_GATS8s,0.015725
XGBoost,maccs_25,0.015158
XGBoost,morgan_983,0.014348
XGBoost,morgan_360,0.013684
XGBoost,protonated_rdkit_fr_Ar_OH,0.013131
XGBoost,protonated_mordred_NaaN,0.01154
XGBoost,neutral_rdkit_PEOE_VSA13,0.010042
XGBoost,maccs_58,0.009922
XGBoost,protonated_rdkit_VSA_EState1,0.009787
XGBoost,protonated_mordred_BCUTi-1l,0.008893
XGBoost,protonated_rdkit_fr_priamide,0.00805
XGBoost,neutral_mordred_StsC,0.008039
XGBoost,protonated_rdkit_fr_Al_OH,0.00763
XGBoost,maccs_102,0.007435
XGBoost,site_normalized_index,0.00737
XGBoost,protonated_mordred_AATS1p,0.007155
XGBoost,neutral_mordred_AATS0p,0.007124
XGBoost,protonated_rdkit_SlogP_VSA2,0.006848
XGBoost,morgan_392,0.005324
XGBoost,protonated_rdkit_EState_VSA9,0.004984
XGBoost,maccs_95,0.004952
XGBoost,protonated_mordred_GATS1c,0.004808
XGBoost,neutral_mordred_WNSA1,0.004017
XGBoost,neutral_mordred_AATS2p,0.003566
XGBoost,morgan_563,0.003253
XGBoost,morgan_114,0.003007
XGBoost,neutral_mordred_MAXsOH,0.002905
XGBoost,protonated_mordred_MATS1dv,0.002811
XGBoost,dft_delta_HOMO_LUMO_gap_eV,0.002588
XGBoost,protonated_rdkit_fr_Ar_NH,0.002195
XGBoost,protonated_mordred_AATS3i,0.001635
XGBoost,morgan_695,0.001321
XGBoost,protonated_mordred_ATSC4are,0.001256
XGBoost,morgan_416,0.000984
XGBoost,morgan_730,0.000809
XGBoost,maccs_89,0.000495
XGBoost,maccs_73,0.000399
LightGBM,protonated_pm7_LUMO_eV,991.8
LightGBM,protonated_pm7_HOMO_LUMO_gap_eV,872.8
LightGBM,protonated_rdkit_SlogP_VSA2,274.8
LightGBM,neutral_mordred_PNSA1,260.2
LightGBM,site_normalized_index,250.0
LightGBM,neutral_mordred_ATS0Z,244.8
LightGBM,neutral_mordred_GATS8s,210.8
LightGBM,neutral_mordred_FPSA2,201.2
LightGBM,protonated_mordred_AATS1p,175.2
LightGBM,protonated_mordred_MATS1dv,130.2
LightGBM,protonated_mordred_GATS1c,115.6
LightGBM,protonated_mordred_BCUTi-1l,115.4
LightGBM,neutral_mordred_WNSA1,108.6
LightGBM,protonated_rdkit_EState_VSA9,102.6
LightGBM,protonated_mordred_AATS3i,102.0
LightGBM,neutral_mordred_AATS0p,99.8
LightGBM,protonated_mordred_ATSC4are,95.4
LightGBM,protonated_mordred_nBase,78.8
LightGBM,dft_delta_HOMO_LUMO_gap_eV,61.4
LightGBM,maccs_86,58.8
LightGBM,neutral_mordred_AATS2p,52.6
LightGBM,protonated_rdkit_VSA_EState1,44.4
LightGBM,neutral_mordred_MAXsOH,42.6
LightGBM,protonated_mordred_SaaN,37.6
LightGBM,maccs_95,21.4
LightGBM,neutral_rdkit_SlogP_VSA11,20.0
LightGBM,protonated_rdkit_fr_Al_OH,19.4
LightGBM,protonated_rdkit_fr_priamide,18.0
LightGBM,protonated_mordred_NaaN,12.4
LightGBM,morgan_360,11.4
LightGBM,neutral_rdkit_PEOE_VSA13,10.4
LightGBM,morgan_392,10.2
LightGBM,protonated_rdkit_fr_Ar_NH,9.6
LightGBM,maccs_88,7.4
LightGBM,maccs_25,7.0
LightGBM,morgan_695,6.4
LightGBM,maccs_102,5.0
LightGBM,neutral_mordred_StsC,4.2
LightGBM,maccs_58,3.8
LightGBM,morgan_114,3.4
LightGBM,maccs_89,2.8
LightGBM,protonated_rdkit_fr_Ar_OH,2.2
LightGBM,morgan_416,0.6
LightGBM,morgan_886,0.0
LightGBM,morgan_969,0.0
LightGBM,neutral_rdkit_fr_guanido,0.0
LightGBM,protonated_mordred_NdNH,0.0
LightGBM,morgan_338,0.0
LightGBM,morgan_563,0.0
LightGBM,morgan_730,0.0
LightGBM,morgan_983,0.0
LightGBM,maccs_73,0.0
CatBoost,protonated_pm7_LUMO_eV,25.33027
CatBoost,protonated_pm7_HOMO_LUMO_gap_eV,17.685391
CatBoost,protonated_mordred_nBase,5.781503
CatBoost,neutral_mordred_PNSA1,4.349262
CatBoost,protonated_rdkit_SlogP_VSA2,3.563436
CatBoost,neutral_mordred_ATS0Z,3.285894
CatBoost,neutral_mordred_GATS8s,3.234333
CatBoost,neutral_mordred_FPSA2,3.133028
CatBoost,maccs_86,2.996929
CatBoost,site_normalized_index,2.414228
CatBoost,protonated_mordred_AATS1p,1.89839
CatBoost,neutral_mordred_WNSA1,1.495594
CatBoost,protonated_mordred_GATS1c,1.432974
CatBoost,protonated_rdkit_EState_VSA9,1.423959
CatBoost,maccs_95,1.345404
CatBoost,protonated_mordred_SaaN,1.313298
CatBoost,neutral_mordred_AATS0p,1.281669
CatBoost,protonated_rdkit_VSA_EState1,1.279123
CatBoost,protonated_mordred_MATS1dv,1.222332
CatBoost,maccs_88,1.069975
CatBoost,protonated_mordred_BCUTi-1l,1.062719
CatBoost,protonated_mordred_NaaN,0.949199
CatBoost,protonated_mordred_AATS3i,0.938457
CatBoost,protonated_rdkit_fr_priamide,0.906721
CatBoost,protonated_rdkit_fr_Al_OH,0.895903
CatBoost,neutral_mordred_AATS2p,0.857919
CatBoost,dft_delta_HOMO_LUMO_gap_eV,0.822705
CatBoost,protonated_mordred_ATSC4are,0.762658
CatBoost,morgan_886,0.715952
CatBoost,morgan_360,0.683905
CatBoost,neutral_rdkit_SlogP_VSA11,0.651094
CatBoost,neutral_rdkit_PEOE_VSA13,0.58034
CatBoost,protonated_rdkit_fr_Ar_NH,0.514602
CatBoost,maccs_25,0.509264
CatBoost,morgan_969,0.479629
CatBoost,neutral_mordred_MAXsOH,0.448154
CatBoost,maccs_58,0.443566
CatBoost,morgan_392,0.390341
CatBoost,neutral_rdkit_fr_guanido,0.326692
CatBoost,protonated_mordred_NdNH,0.262023
CatBoost,morgan_983,0.247664
CatBoost,protonated_rdkit_fr_Ar_OH,0.2353
CatBoost,morgan_695,0.193957
CatBoost,neutral_mordred_StsC,0.153886
CatBoost,maccs_89,0.118543
CatBoost,morgan_338,0.099647
CatBoost,maccs_102,0.08227
CatBoost,morgan_114,0.068143
CatBoost,morgan_416,0.032899
CatBoost,morgan_730,0.018271
CatBoost,morgan_563,0.010584
CatBoost,maccs_73,0.0
